timestamp,memory_usage_bytes,memory_limit_bytes,cpu_usage_percent,http_requests_per_sec,http_p99_latency_ms,http_5xx_rate,jvm_gc_pause_ms_avg,container_restart_count
2026-06-01T00:00:00Z,396617709,2147483648,26.12,36.98,63.0,0.0,29.7,0
2026-06-01T00:00:30Z,414962205,2147483648,23.92,44.74,33.9,0.0,58.4,0
2026-06-01T00:01:00Z,480953433,2147483648,8.89,35.86,100.0,2.0,52.5,0
2026-06-01T00:01:30Z,447436790,2147483648,29.02,42.82,64.7,2.0,31.6,0
2026-06-01T00:02:00Z,368557856,2147483648,34.5,37.33,75.3,2.0,22.6,0
2026-06-01T00:02:30Z,427460283,2147483648,29.43,40.44,63.4,0.0,72.7,0
2026-06-01T00:03:00Z,407451174,2147483648,23.3,45.48,49.1,0.0,13.1,0
2026-06-01T00:03:30Z,436097771,2147483648,14.67,34.38,30.0,0.48,52.6,0
2026-06-01T00:04:00Z,376224500,2147483648,26.02,27.52,65.1,0.0,36.7,0
2026-06-01T00:04:30Z,442579528,2147483648,26.18,33.78,30.1,0.26,13.7,0
2026-06-01T00:05:00Z,443952218,2147483648,13.45,41.25,46.3,1.31,37.6,0
2026-06-01T00:05:30Z,492446011,2147483648,22.45,51.09,30.7,0.63,52.0,0
2026-06-01T00:06:00Z,449954643,2147483648,17.12,48.38,66.1,0.87,23.8,0
2026-06-01T00:06:30Z,458300844,2147483648,32.04,36.96,50.9,1.35,26.9,0
2026-06-01T00:07:00Z,389717877,2147483648,17.37,35.24,76.5,1.28,1.0,0
2026-06-01T00:07:30Z,522352279,2147483648,14.65,42.1,30.0,0.0,88.1,0
2026-06-01T00:08:00Z,377972462,2147483648,22.01,40.58,48.2,2.0,30.1,0
2026-06-01T00:08:30Z,485078881,2147483648,26.05,35.02,60.4,2.0,15.4,0
2026-06-01T00:09:00Z,436446369,2147483648,24.51,38.68,36.3,0.59,48.2,0
2026-06-01T00:09:30Z,418628005,2147483648,18.6,35.6,40.5,1.68,37.0,0
2026-06-01T00:10:00Z,427917704,2147483648,21.53,39.12,46.7,0.0,49.9,0
2026-06-01T00:10:30Z,428782653,2147483648,34.86,50.88,64.2,0.09,26.6,0
